id;productname;specialOffer;normalPrice;imagename;description
001;Nektarinen gelb;3.60;5.20;nektarinen.jpg;Herkunft: Spanien
002;Rispentomaten;2.65;3.10;tomaten.jpg;Tomaten verfügen über einen hohen Gehalt an Vitamin C, Karotin, Fruchtsäuren, Zucker und Mineralstoffen.
003;Kalbs-Bratwürste;8.25;16.50;kalbsbratwuerste.jpg;Terra Suisse Kalbs-Bratwurst 3x2 Stück
004;Appenzeller Classic;2.70;3.45;appenzeller.jpg;Schweizer Halbhartkäse, vollfett, aus Rohmilch
005;Eier;4.50;5.40;eier.jpg;9 Schweizer Eier aus Frilandhaltung
006;Krustenkranz;2.00;2.30;krustenkranz.jpg;Terra Suisse
007;Magunm Almond;7.90;9.90;vanille_glace.jpg;Vanilleglace und Milchschokolade mit Mandeln
008;Iced Green Tea;7.50;10.80;icedtea.jpg;AriZona Green Tea - Grünteegrtränk
009;Senf;2.70;3.40;senf.jpg;Senf mild
010;Olivenöl;14.35;17.95;olivenoel.jpg;Bertolli Olivenöl extra vergine originale
